timestamp,tweet_text,username,all_hashtags,followers_count
2021-11-20 09:07:33+00:00,@CliveFPalmer you are a shit cunt #antivaxxer #fattymcfuckhead #auspol #fuckoff,b'MKinder',"['antivaxxer', 'fattymcfuckhead', 'auspol', 'fuckoff']",51
2021-11-20 08:43:12+00:00,"@Aw_what Edit - the conference is happening today! They have just moved it to a “secret” venue, like an #antivaxxer rave https://t.co/ye9GTmxgUZ",b'Archipet',['antivaxxer'],1354
2021-11-20 08:40:35+00:00,"Watch out for the lunatic “New World Alliance” company, set up in Newton Abbot, that would have been running its first #antivaxxer conference in Totnes Civic Hall today, if the council hadn’t stopped their booking!  https://t.co/Hsxn5dFUkI https://t.co/IAm1j7tTIz",b'Archipet',['antivaxxer'],1354
2021-11-20 08:29:18+00:00,On #Covid19- #Homeless Person Shuts Down #antivaxxer Street Protest Perfectly...#Transient was #vaccinated.   See #video #GetVaccinatedNow https://t.co/izOUJyf933,b'CMA_Social',"['Covid19', 'Homeless', 'antivaxxer', 'Transient', 'vaccinated', 'video', 'GetVaccinatedNow']",3509
2021-11-20 07:48:58+00:00,@owen_minogue I wouldn’t include them in the #antivaxxer protest numbers.,b'koa7a_9',['antivaxxer'],207
2021-11-20 07:48:57+00:00,"We can find so many weaknesses in the #AntiVaxxer, #VaccineMandate argument, but THIS has to be the standout............👇👇👇  #QAnonCult #Melbourneprotest #ItsAllAboutMe https://t.co/WXxtdO4QQL",b'ScallywagRay',"['AntiVaxxer', 'VaccineMandate', 'QAnonCult', 'Melbourneprotest', 'ItsAllAboutMe']",2338
2021-11-20 07:10:39+00:00,"I’d noted, but was NEVER 1 to shrug @ Red State #antivaxxer deaths,  “Oh, well. Less fascist votes.”  NOT that I didn’t get the economy of it.  Or that I’m overflowing w/ empathy.  *OK, there’s that. Guilty.  It’s, I KNEW.  That the #KGOP LONG AGO abandoned their need 4 “voters.” https://t.co/oVLtBcPJ6h",b'DigitAlSack',"['antivaxxer', 'KGOP']",337
2021-11-20 05:57:07+00:00,@KrugAlli @tnicholsmd @DrJBhattacharya @GovRonDeSantis no.... no... you're just an #antivaxxer...,b'SwordtheChemist',['antivaxxer'],710
2021-11-20 05:47:02+00:00,"if you're against #vaccines you're not a qualified doctor, nurse or health provider... you're just another #antivaxxer that shouldn't be near the ones that are sick and in need! go get another job! https://t.co/qRwtkLMKkW",b'SwordtheChemist',"['vaccines', 'antivaxxer']",710
2021-11-20 04:43:02+00:00,Just had the misfortune to go into the #Brisbane CBD &amp; had to work my way thru the #antivaxxer #protest. So disappointing &amp; infuriating to see this. I hope these people will use their logic &amp; refuse medical help when they get sick https://t.co/VfdEQTpSrc,b'alison_mrice',"['Brisbane', 'antivaxxer', 'protest']",2869
2021-11-20 03:33:56+00:00,"""As St. #Ignatius liked to point out, our feelings are a gift. They’re the way that God helps us to see what we want."" #Thanksgiving #Holidays #vaccination #antivaxxer #masking #ChristianResponse #Catholic #Jesuits  https://t.co/jO4OCAUUqr",b'abdmuhib',"['Ignatius', 'Thanksgiving', 'Holidays', 'vaccination', 'antivaxxer', 'masking', 'ChristianResponse', 'Catholic', 'Jesuits']",215
2021-11-20 03:18:49+00:00,Anti-government protest? Can't @abcnews  just call this what it is? i.e #AntiVaxxer Protest! https://t.co/UuUaIUhapI,b'2xPfizer',['AntiVaxxer'],285
2021-11-20 02:04:12+00:00,"#Antivaxxer and #antimasker #PlagueSpreaders student is denied the opportunity to potentially spread a deadly plague to his fellow students &amp; his teachers.   Expelled. Good.   Protect the public, not these antisocial narcissistic #PlagueSpreaders   #cdnpoli #onpoli https://t.co/duXdWYY3iO",b'pqpolitics',"['Antivaxxer', 'antimasker', 'PlagueSpreaders', 'PlagueSpreaders', 'cdnpoli', 'onpoli']",6499
2021-11-20 02:01:52+00:00,#COVID #antivaxxer questions unanswered #QunA are costing lives! #QandA @normanswan @qanda #Covid19 #covidpropaganda #ADE #VAED #VAERD #BoosterShots #Covid_19 #kidsvaccine #leaky #vaccines @David_Speers https://t.co/AjswqdR9cC,b'hellbrat',"['COVID', 'antivaxxer', 'QunA', 'QandA', 'Covid19', 'covidpropaganda', 'ADE', 'VAED', 'VAERD', 'BoosterShots', 'Covid_19', 'kidsvaccine', 'leaky', 'vaccines']",2132
2021-11-20 01:54:22+00:00,"@bclj199 RFK Jr.'s own family, in essence, told him to STFU about his #antivaxxer BS a full DECADE ago. Informed #fact  I suggest you and Keith Hernandez take note. (You won't)",b'AFCC_Esq',"['antivaxxer', 'fact']",236
2021-11-20 01:53:47+00:00,#COVID #antivaxxer questions unanswered #QunA are costing lives! #QandA @normanswan @qanda #Covid19 #covidpropaganda #ADE #VAED #VAERD #BoosterShots #Covid_19 #kidsvaccine #leaky #vaccines @David_Speers https://t.co/y58VwFh7Rt,b'hellbrat',"['COVID', 'antivaxxer', 'QunA', 'QandA', 'Covid19', 'covidpropaganda', 'ADE', 'VAED', 'VAERD', 'BoosterShots', 'Covid_19', 'kidsvaccine', 'leaky', 'vaccines']",2132
2021-11-20 01:53:26+00:00,#COVID #antivaxxer questions unanswered #QunA are costing lives! #QandA @normanswan @qanda #Covid19 #covidpropaganda #ADE #VAED #VAERD #BoosterShots #Covid_19 #kidsvaccine #leaky #vaccines @David_Speers https://t.co/GFNHzqpvTa,b'hellbrat',"['COVID', 'antivaxxer', 'QunA', 'QandA', 'Covid19', 'covidpropaganda', 'ADE', 'VAED', 'VAERD', 'BoosterShots', 'Covid_19', 'kidsvaccine', 'leaky', 'vaccines']",2132
2021-11-20 01:53:02+00:00,#COVID #antivaxxer questions unanswered #QunA are costing lives! #QandA @normanswan @qanda #Covid19 #covidpropaganda #ADE #VAED #VAERD #BoosterShots #Covid_19 #kidsvaccine #leaky #vaccines @David_Speers https://t.co/gghzLzhShJ,b'hellbrat',"['COVID', 'antivaxxer', 'QunA', 'QandA', 'Covid19', 'covidpropaganda', 'ADE', 'VAED', 'VAERD', 'BoosterShots', 'Covid_19', 'kidsvaccine', 'leaky', 'vaccines']",2132
2021-11-20 01:14:42+00:00,"“Novak knows he will have to be vaccinated to play,"" says #AusOpen Tennis tournament director. Expecting this will be a big issue in #Serbia …. #auspol #antivaxxer #tennis  https://t.co/DsBsMo4DUN",b'KevanSangster',"['AusOpen', 'Serbia', 'auspol', 'antivaxxer', 'tennis']",415
2021-11-20 00:53:14+00:00,@JennaLaineESPN will AB's booster shot be #Ivermectin bleach or rays of light?  @Buccaneers @nflcommish #COVIDIOTS #AntiVaxxer,b'toujours_dtf',"['Ivermectin', 'COVIDIOTS', 'AntiVaxxer']",30
2021-11-20 00:36:34+00:00,"Several #RWNJ #antivaxxer losers hanging around at Vic Market, not far from the @campaignarf protest start location. Wonder what they're planning? #StopTheFarRight https://t.co/OW9cBhqh7T",b'kaffando',"['RWNJ', 'antivaxxer', 'StopTheFarRight']",2215
2021-11-19 22:47:20+00:00,"If you’re an #antivaxxer, of course you also refuse every aspirin, Tylenol, Advil, PPI, statin, BP med, diabetes med, arthritis biologic, allergy shot, cancer chemotherapy or immunotherapy, pain reliever, muscle relaxant, and antibiotic known to humankind. Yeah, thought so …",b'walterrobinson',['antivaxxer'],1962
2021-11-19 22:39:04+00:00,"3. THESE people think #COVID2019/#COVID19 is NO problem &amp; they DON'T need #covid19VACCINE/#coronaVACCINATION/#coronaVACCINE...,(November 20, 2021; 6:33 HKT) #ANTIVAXXERS #ANTIVAXXER #KYRIEIRVING #FAIL",b'ActivistBowen2',"['COVID2019', 'COVID19', 'covid19VACCINE', 'coronaVACCINATION', 'coronaVACCINE', 'ANTIVAXXERS', 'ANTIVAXXER', 'KYRIEIRVING', 'FAIL']",4010
2021-11-19 22:07:59+00:00,A  #antivaxxer  boycotting Tesco only to get home and see boycott Aldi is trending 🤣🤣🤣 https://t.co/lQEolwxhTM,b'HavPete',['antivaxxer'],165
2021-11-19 21:30:54+00:00,@ReinhartShana @99999990z @geezerpaulr @flossyflange Wow. You people really know how to google. 😂 This is the idiocy of the #antivaxxer; come to a conclusion then find the ‘evidence’ to confirm it. The ignorance of the #antivaxxers knows no bounds #covidiots,b'trombone_tony',"['antivaxxer', 'antivaxxers', 'covidiots']",186
2021-11-19 21:07:54+00:00,@PaulEtwaroo why so mad bro? Can’t you just live in an #antivaxxer colony and wait for an infection? Seems like you’d feel better then,b'ex_cult',['antivaxxer'],280
2021-11-19 20:47:12+00:00,@guardian I Don't I Just Watched #Dopesick   #Covid_19 #antivaxxer #vaccine,b'deadlyfodz',"['Dopesick', 'Covid_19', 'antivaxxer', 'vaccine']",158
2021-11-19 20:33:09+00:00,"if we said you can't have a ""first"" dose #vaccine now cuz we're closing that window &amp; shipping the rest overseas, bet we'd see the avg #AntiVaxxer whine about their rights to get a shot. -- nah, your god &amp; your crazy ass voodoo ideas will protect you. hahahaha. no soup for you.",b'Lindax',"['vaccine', 'AntiVaxxer']",326
2021-11-19 20:17:07+00:00,@Donna_Chisholm #Austria#covid NZ #AntiVaxxer  are going to make everyone get vaccinated whether they want it or not.,b'David95161855',['AntiVaxxer'],0
2021-11-19 20:13:41+00:00,"@Mattisbrilliant You're clearly not an #Historian 😆 There's plenty of independent evidence online, it's easy to browse &amp; review. PS: DON'T #BoycottAldi  Where do *you* get your #AntiVaxxer 'research' from?  #WearAMask #GetVaccinatedNow https://t.co/HGd20IOtqE",b'WistfulCass',"['Historian', 'BoycottAldi', 'AntiVaxxer', 'WearAMask', 'GetVaccinatedNow']",11333
