timestamp,tweet_text,username,all_hashtags,followers_count,favourites
2021-11-05 08:57:24+00:00,"@Powerfm987 @LukhonaMnguni ""They pay the regulator. Both the American FDA and the UK's MHRA rely for their income on fees fir licensing drugs. Until 2004 there was nothing to stop MHRA members from having financial links with drug companies.""Patrick Holford&amp;Jerome Burney( award-winning med journo) #vaccine",b'Shiahm',['vaccine'],593,0
2021-11-05 08:55:03+00:00,Covid-19 vaccination status | Department of Health https://t.co/C0OYDoctnF  Death due by Vaccination  status #CovidUK  @Skynews  #vaccine @NHSMillion,b'etxberria55',"['CovidUK', 'vaccine']",2657,0
2021-11-05 08:54:08+00:00,"Brilliant project. The project promises to be successful. I believe in the idea of this project, in his team and I hope they will all turn out in the formation of a new future #VACC #VACCineToken #VACCine #HealthToken https://t.co/mFgnuNkYoQ",b'romanaujla',"['VACC', 'VACCineToken', 'VACCine', 'HealthToken']",5392,1
2021-11-05 08:53:50+00:00,#VaccineMandates v #IndividualLiberties: a #legal #study on the dichotomy between #publichealth and personal #autonomy.  Is it #legitimate for #governments to force people to take the #Vaccine?  #COVID19 #Pfizer #Moderna #Sputnik #Freedom #liberty  https://t.co/p4nJPGZgWU,b'LawLebanon',"['VaccineMandates', 'IndividualLiberties', 'legal', 'study', 'publichealth', 'autonomy', 'legitimate', 'governments', 'Vaccine', 'COVID19', 'Pfizer', 'Moderna', 'Sputnik', 'Freedom', 'liberty']",102,1
2021-11-05 08:52:49+00:00,This #COVID19 city wide testing again. Vaccine can't stop this virus! What of drug!! I took #vaccine but my throat still being dug😭😭,b'Ayeniemmanuel90',"['COVID19', 'vaccine']",2817,0
2021-11-05 08:52:26+00:00,...well. Don't say you weren't told. #Vaccine #Covid https://t.co/D52Mj5VlUg,b'GTNewsNetwork',"['Vaccine', 'Covid']",1209,0
2021-11-05 08:51:50+00:00,"Instruction Video 2021 New Lollipop Style COVID-19 Saliva Antigen Test Kit! Hot selling now. More easy, more comfortable. https://t.co/y5JeIixJ34  #tests #covid #selftest #vaccine #healthcare #ivd #rapidtest #salivatest #medica #diagnostic",b'goldsite_ivd',"['tests', 'covid', 'selftest', 'vaccine', 'healthcare', 'ivd', 'rapidtest', 'salivatest', 'medica', 'diagnostic']",32,0
2021-11-05 08:50:56+00:00,I strongly suggest to read this thread and watch the clips if you want to follow a scientific debate rather than the tired and consumed propaganda. #COVID19 #vaccine #science #debate https://t.co/bvDOA1FkFD,b'Luca_Bo_',"['COVID19', 'vaccine', 'science', 'debate']",2705,1
2021-11-05 08:50:44+00:00,"Instruction Video 2021 New Lollipop Style COVID-19 Saliva Antigen Test Kit! Hot selling now. More easy, more comfortable. https://t.co/n4Nf14TLpu  #tests #covid #selftest #vaccine #healthcare #ivd #rapidtest #salivatest #medica #diagnostic",b'goldsite_ivd',"['tests', 'covid', 'selftest', 'vaccine', 'healthcare', 'ivd', 'rapidtest', 'salivatest', 'medica', 'diagnostic']",32,0
2021-11-05 08:44:14+00:00,First pill to treat #Covid gets approval in #UK  https://t.co/0IxF6NlBnN  #coronavirus #pandemics #vaccine #covid19,b'mysherbrooke',"['Covid', 'UK', 'coronavirus', 'pandemics', 'vaccine', 'covid19']",77,0
2021-11-05 08:41:00+00:00,Job done. Flu vaccine tomorrow all being well #boostershot #vaccine #COVIDVaccine https://t.co/c0TpMvV9sB,b'lottie81',"['boostershot', 'vaccine', 'COVIDVaccine']",80,0
2021-11-05 08:40:03+00:00,"#Boris is on track to be one of the greats.   Fate has dealt him an abysmal hand, but he's delivered #Brexit, a world-beating #vaccine programme, and an #economy set to grow faster than any other developed country.  #BackBoris https://t.co/QaxWPlSud1",b'RealDidierUK',"['Boris', 'Brexit', 'vaccine', 'economy', 'BackBoris']",1755,10
2021-11-05 08:39:54+00:00,Our fight against corona is not over yet. Here at #qualitygas we encourage you to #wearamask  #SANITIZE FREQUENTLY #GETVACCINATED . . . #covid19 #sanitize #vaccine #mask #corona #qualitygas https://t.co/EgykH49dt6,b'QualityGasZim',"['qualitygas', 'wearamask', 'SANITIZE', 'GETVACCINATED', 'covid19', 'sanitize', 'vaccine', 'mask', 'corona', 'qualitygas']",356,0
2021-11-05 08:38:01+00:00,"UK.  On 4 November, 37,269 new cases and 214 deaths within 28 days of a positive test were reported across the UK.  Our data includes the number of people receiving a first, second and booster dose of the #vaccine:  #coronavirus disease 2019 (COVID-19) #COVID19 #UK https://t.co/RtDtILNN83",b'WorldCOVID19',"['vaccine', 'coronavirus', 'COVID19', 'UK']",1801,0
2021-11-05 08:37:47+00:00,"Study in @ScienceMagazine by @PHIdotorg @DeptVetAffairs &amp; @UTexasSPH on #BreakthroughCOVID infection in 700k+ Vets finds steep #vaccine efficacy decline—down to 48%,13% for J&amp;J. Shows critical role of #vaccines, @US_FDA boosters &amp; layers of protection: https://t.co/Nogu8l18Gv",b'zhennessey',"['BreakthroughCOVID', 'vaccine', 'vaccines']",844,0
2021-11-05 08:34:29+00:00,"This project stands out from others for its realism and excellent qualities of the team, which is focused on achieving real results.I am confident in the success of this project. #VACC #VACCineToken #VACCine #HealthToken https://t.co/Xbh5YmSHUT",b'ashabtchunter',"['VACC', 'VACCineToken', 'VACCine', 'HealthToken']",2212,0
2021-11-05 08:32:51+00:00,Children with comorbid conditions will be prioritised for #CovidVaccination as they are more likely to get severe disease.  https://t.co/y9LIXJIUnB  #COVID19 #COVIDVaccine #VaccineCentre #Covid_19 #Vaccine #Vaccination  #DrSameerBhati https://t.co/SIxIHpmt3M,b'DrSameerBhati',"['CovidVaccination', 'COVID19', 'COVIDVaccine', 'VaccineCentre', 'Covid_19', 'Vaccine', 'Vaccination', 'DrSameerBhati']",1026,1
2021-11-05 08:32:08+00:00,"Why the fu¢k you need a #booster if the #vaccine works? And this fu¢king booster protects you for minimum 12 days...yes, you got that right. #CDC #FDA #FauciForPrison",b'BasuSukhendu',"['booster', 'vaccine', 'CDC', 'FDA', 'FauciForPrison']",84,0
2021-11-05 08:31:14+00:00,VaccToken Excellent opportunity to become an investor of a promising project. With a unique product. This company will be one of the market leaders! #VACC #VACCineToken #VACCine #HealthToken https://t.co/5bXTwHKabc,b'MDSUMON32362443',"['VACC', 'VACCineToken', 'VACCine', 'HealthToken']",3191,1
2021-11-05 08:30:43+00:00,"There are currently 51candidates Out of which, 10 candidates are in phase 3. #coronavirus #COVID #Covid-19 #vaccine #vaccines #vaccination Use #telegram and add bot 'CoronaTrackerNepal_bot' to get details and notifications.  Source: https://t.co/HmUwd0efIQ",b'krishna444_test',"['coronavirus', 'COVID', 'Covid', 'vaccine', 'vaccines', 'vaccination', 'telegram']",274,0
2021-11-05 08:30:12+00:00,#WhyDoesGovtGiveUS A #Vaccine NotA #Antidote #HowComeDoTheyGive #You #Poison=#CovidVaccine Not #CovidAntidote?,b'BrutalityPics',"['WhyDoesGovtGiveUS', 'Vaccine', 'Antidote', 'HowComeDoTheyGive', 'You', 'Poison', 'CovidVaccine', 'CovidAntidote']",1318,0
2021-11-05 08:29:09+00:00,"It’s not going to end at 3 shots. You’ll have to get as many boosters as they tell you in order to keep your fully vaccinated status. No jab no job endless enslavement to the drug companies. You’ll need more than 3 shots, watch &amp; see.  #vaccine #Mandates  #Booster #VaccineMandate",b'Prop215Patient',"['vaccine', 'Mandates', 'Booster', 'VaccineMandate']",2299,0
2021-11-05 08:28:37+00:00,"""A serial killer is person who murders at least THREE people in a series over a period of time."" TGA website claim 9 people died from Vaccines. So that makes the #Australia Government a Serial Killer. So can we prosecute now we can show a pattern and proof. #COVID19 #vaccine",b'onestopaloeshop',"['Australia', 'COVID19', 'vaccine']",446,2
2021-11-05 08:25:09+00:00,Vaccine side effects causing issues   #Australia #Covid_19 #VaccineSideEffects #vaccine #NewZealand https://t.co/mJcnVvBLTj,b'BrandirSE',"['Australia', 'Covid_19', 'VaccineSideEffects', 'vaccine', 'NewZealand']",225,1
2021-11-05 08:24:38+00:00,Jamaica: Eurowings Discover starts direct flight from Europe to Montego Bay https://t.co/tdr2PcQqMs #covid19 #covid #pandemic #world #Caribbean #vaccine #vaccination #2021  @AndrewHolnessJM,b'TimesAssociates',"['covid19', 'covid', 'pandemic', 'world', 'Caribbean', 'vaccine', 'vaccination']",1221,0
