timestamp,tweet_text,username,all_hashtags,followers_count
2021-11-07 20:56:03+00:00,"Now, with less screaming!  Sorry im late! #streaming #twitchstreamer #DARKSOULS3 #DarkSouls #stream #smallstreamer #saveme #twitch #livenow",b'IsaacNilo1',"['streaming', 'twitchstreamer', 'DARKSOULS3', 'DarkSouls', 'stream', 'smallstreamer', 'saveme', 'twitch', 'livenow']",14
2021-11-07 20:05:03+00:00,at a baptism and the baby is playing with a knife #graubers #saveme,b'soomanyymimi',"['graubers', 'saveme']",18
2021-11-07 19:00:36+00:00,"🔥WE ARE OVER CAPACITY🔥  Hi, my name is Pepper! I have been at IACS for far too long since September! I don’t know why?! I’m around 4 years old so on the calmer side, past the pesky puppy years! I do sometimes jump up for love and attention! I know sit and shake! #saveme #adopt https://t.co/x0Dd1Hw06l",b'INDYACS',"['saveme', 'adopt']",2890
2021-11-07 18:31:40+00:00,@carlacackowski Dude! My crew were up at 4 am! #stopdaylightsavings #saveme,b'Fleafasano',"['stopdaylightsavings', 'saveme']",7074
2021-11-07 16:42:38+00:00,@__baadshah @omersultan_1 Alright la the only reason ur not flipping this year is coz u were too shit to get European football last year #usingalotaisoverratedanyway #gartaowesmoneytothegoonsimaccrington #ImOnTheRunFromTheDonDada #SaveMe,b'Momen_WFC',"['usingalotaisoverratedanyway', 'gartaowesmoneytothegoonsimaccrington', 'ImOnTheRunFromTheDonDada', 'SaveMe']",270
2021-11-07 15:50:43+00:00,"John 10:9 KJV I AM the door: by me if any man enter in, he shall be saved, and shall go in and out, and find pasture. #Jesus #Door #SaveMe https://t.co/P8e02YczZV",b'ChristIsComing5',"['Jesus', 'Door', 'SaveMe']",7657
2021-11-07 15:09:01+00:00,"PRECIOUS #SENIORDOG BUDDY DESPERATELY NEEDS OUR #HELP 💔 He is at BARC TEXAS shelter! He needs our help!WITHOUT US,BUDDY WILL B KILLED! PLZ #ADOPT #FOSTER OR #PLEDGE TO ATTRACT A #RESCUE 💔 #PLEASERT TO GET BUDDY SEEN! No pledge is too small! PLZ tag rescues! #Texas #saveme https://t.co/jp0eUGJo7A https://t.co/Fzi9BMu8TB",b'LisaBrabson',"['SENIORDOG', 'HELP', 'ADOPT', 'FOSTER', 'PLEDGE', 'RESCUE', 'PLEASERT', 'Texas', 'saveme']",3805
2021-11-07 13:06:46+00:00,Had to stop here on the way to West Ham. Who dat! #SaveMe https://t.co/m7nybQWn6c,b'cowlos',['SaveMe'],2283
2021-11-07 11:42:14+00:00,"@ClickinMom @LanceUSA70 I care, because as soon as one of you “I have the right to refuse the vaccine” got covid, you took your gravely ill ass to the hospital demanding medical treatment. #SaveMe",b'GwenGiorgis',['SaveMe'],35
2021-11-07 11:18:15+00:00,pulling an all nighter #saveme,b'AjaTarronn',['saveme'],402
2021-11-07 10:44:47+00:00,"As a common saying; if you talk about it, it will lighten the heaveness in your hear... It's not, it's become more heavier. I cannot take it anymore.. I can see she is falling and I am powerless to save her... FZ diary~ #SaveMe #mentalhealth #MentalHealthMatters #Listen",b'Freeszia1',"['SaveMe', 'mentalhealth', 'MentalHealthMatters', 'Listen']",21
2021-11-07 08:50:35+00:00,https://t.co/wiSUzj1A44  New acoustic song out today! #newrelease #music #poppunk #emo #acoustic @mixcraft @Spotify @DistroKid #acousticsong #newversion #SaveMe,b'timlee_music',"['newrelease', 'music', 'poppunk', 'emo', 'acoustic', 'acousticsong', 'newversion', 'SaveMe']",7
2021-11-07 08:43:49+00:00,@webtoonofficial @BTS_twt Bestie #SaveMe  part 2 when??? I'm getting old now but still waiting 😔💔,b'tae_deity',['SaveMe'],2311
2021-11-07 07:20:33+00:00,Lachimolala?🎧🍝 No we're saying #SaveMe on #WEBTOON by @BTS_twt   ➡️https://t.co/SX0UE8u73v https://t.co/A4KqvBYNFe https://t.co/AseFvmg8Bd,b'SL_Gucci',"['SaveMe', 'WEBTOON']",1371
2021-11-07 04:00:40+00:00,Lachimolala?🎧🍝 No we're saying #SaveMe on #WEBTOON by @BTS_twt   ➡️https://t.co/YSeY0uVwRa https://t.co/vyIHScQWcu https://t.co/Q9mC6PC8g0,b'G41292',"['SaveMe', 'WEBTOON']",534
2021-11-07 03:05:16+00:00,Ok im officially half awake😴😴 im still sooo tired #wakemeup #sleep #SaveMe,b'FlamingKitty96',"['wakemeup', 'sleep', 'SaveMe']",99
2021-11-07 02:57:40+00:00,@webtoonofficial thanks for brightening my night 😍💜✨💜✨ #SaveMe on #WEBTOON  by @BTS_twt https://t.co/DHm9OlgACn,b'FerParkJimin',"['SaveMe', 'WEBTOON']",1274
2021-11-07 01:44:12+00:00,"Today i saw jae for a while it made me shaken, how about me tomorrow 😭 #SaveMe",b'jaewooncityx',['SaveMe'],421
2021-11-07 01:43:33+00:00,"https://t.co/4ACp01Ocrk #nycacc #boroughbred  (Raspberry Tart) *NEEDS HOME ASAP* Raspberry Tart is a 2 year old sweet beauty  who has been on TBD List, she needs a home  before she's relisted on TBD list. #SaveMe  Adopt this sweetheart #NYC #SOS",b'Maree71439592',"['nycacc', 'boroughbred', 'SaveMe', 'NYC', 'SOS']",9111
2021-11-06 23:13:42+00:00,"More Darksouls 3 tomorrow, Hopefully with less scared screaming this time. hopefully... At 3:30pm EST #DARKSOULS3 #DarkSouls #stream #streaming #smallstreamer  #saveme #screaming",b'IsaacNilo1',"['DARKSOULS3', 'DarkSouls', 'stream', 'streaming', 'smallstreamer', 'saveme', 'screaming']",14
2021-11-06 22:46:22+00:00,How come you make fun 😭😭.. I am crying over #SaveMe 😭😭... https://t.co/mTG85OWsBN,b'Queen_7BTS',['SaveMe'],66
2021-11-06 21:25:20+00:00,@CallmeNomii once again he laughed at me without any reason 🤷🏻‍♂️. #saveme,b'MEEeROOo7',['saveme'],88
2021-11-06 20:51:01+00:00,"#DLDown3r ft. #LadyDice, here´s #SaveMe. Enjoy it!  https://t.co/gTWvtXbPxt",b'OrdiorDigital',"['DLDown3r', 'LadyDice', 'SaveMe']",393
2021-11-06 20:04:00+00:00,"Me encanta #SaveMe  Posta esta buena la historia de BTS  .@BTS_twt is nominated for: - 🏆""Artist of The Year""  - 🏆‘Butter’ is nominated for ""Favorite Pop Song""  - 🏆‘Favorite Pop Duo/Group’ at the 2021 #AMAs 🔗 VOTE HERE - TikTok 👇: https://t.co/xeuii6opKb https://t.co/rjTJqLot7J",b'Lia_blueside',"['SaveMe', 'AMAs']",240
2021-11-06 20:00:01+00:00,Lachimolala?🎧🍝 No we're saying #SaveMe on #WEBTOON by @BTS_twt   ➡️https://t.co/dzLcOy8hBG https://t.co/W6U3UkfUHB,b'webtoonofficial',"['SaveMe', 'WEBTOON']",474269
2021-11-06 19:20:31+00:00,Saturday mood ✨ #songoftheday #saveme #blindchannel #joelhokka https://t.co/4X6zTFOAf7,b'Olja_Yavorskaja',"['songoftheday', 'saveme', 'blindchannel', 'joelhokka']",236
2021-11-06 18:23:46+00:00,"Fresh haircut on a bad day, so this is the best I can do today. Ready for a fresh start in a new city, if I can find one that wants me.  #escape #saveme https://t.co/yq69wrpcgW",b'tonymeade',"['escape', 'saveme']",753
2021-11-06 18:00:46+00:00,"📣Save a life, ADOPT! We are FULL!📣  Meet Cayson- this sweet boy needs your love. He is only a year old and weighs roughly 40lbs. He is such a sweet and friendly boy. He is also very food motivated which will make training a breeze. #adopt #savealife #shelterdog #saveme https://t.co/mjRglTf2UJ",b'INDYACS',"['adopt', 'savealife', 'shelterdog', 'saveme']",2890
2021-11-06 14:25:08+00:00,RAMBO IS A BRIGHT EYED BOY THAT DOESN'T WANT TO DIE! He is everything u want in a best friend! PLZ #ADOPT #FOSTER OR #PLEDGE TO ATTRACT A #RESCUE 💔 #PLEASERT TO GET HIM SEEN! WE CAN'T LET THEM KILL THIS PRECIOUS #PUPPY! PLZ tag every rescue u can think of! 👇 #SAVEME #NYCACC https://t.co/Q8zWjxfzBM,b'LisaBrabson',"['ADOPT', 'FOSTER', 'PLEDGE', 'RESCUE', 'PLEASERT', 'PUPPY', 'SAVEME', 'NYCACC']",3805
2021-11-06 10:30:00+00:00,OUT NOW : SAVE ME by MISSKISS and KIRA 🔗https://t.co/8m1NDga2Uu  #MISSKISS #KIRA #SAVEME https://t.co/aznjGLt1rS,b'seoul_therapyID',"['MISSKISS', 'KIRA', 'SAVEME']",144
2021-11-06 10:15:15+00:00,When you wake up ill and you have a 12hr shift ahead of you 😭😭 #SaveMe https://t.co/fMfgfeTF5L,b'TeamChaos22',['SaveMe'],1937
2021-11-06 08:04:18+00:00,Vet bill this month at Shelter is a large one.We cannot see any of our furry friends in need of treatment turned away. So please help &amp; donate just a few $£€ to save a life. Link below to Donate. Thanks  #SaveMe #DogsofTwittter #dogs #shelter #rescuedog  https://t.co/AGEDcLl1WV https://t.co/sOAGl9y8il,b'TKsisters4ever',"['SaveMe', 'DogsofTwittter', 'dogs', 'shelter', 'rescuedog']",1565
2021-11-06 07:21:03+00:00,"@PRLegacyWars @PRLegacyWars dissapointed, game developer didnt help to fix my issue while i was charged IDR 317.900 but in the game vip not active yet since i buy it 3 days ago #PowerRangers #PRLegacywars #SaveMe #HelpMe #DeveloperJobs #Google #GooglePlay https://t.co/uINZ9D7YJ3",b'Andi98669013',"['PowerRangers', 'PRLegacywars', 'SaveMe', 'HelpMe', 'DeveloperJobs', 'Google', 'GooglePlay']",0
