timestamp,tweet_text,username,all_hashtags,followers_count,favourites
2021-11-20 11:20:13+00:00,"Austria imposes full COVID lockdown, makes vaccination mandatory https://t.co/Q1x7CKTcr6  #Austria #Lockdown #Covid #Vaccination #Virus #Cases",b'FarmingSelfie',"['Austria', 'Lockdown', 'Covid', 'Vaccination', 'Virus', 'Cases']",106,0
2021-11-20 11:17:06+00:00,"12 Ways You Can Beat COVID-19 Complacency &amp; Hasten Pandemic Ending #complacency, #pancedmicfatigue, #covid19, #12ways, #selflove, #blog, #blogging, #influencer, #ideas, #vaccination https://t.co/J9Fu8evxac",b'mkrivich',"['complacency', 'pancedmicfatigue', 'covid19', '12ways', 'selflove', 'blog', 'blogging', 'influencer', 'ideas', 'vaccination']",5961,0
2021-11-20 11:15:56+00:00,Major subway station renamed in New York to honor Haitian migrants https://t.co/y6yUvXBo1H #covid19 #covid #pandemic #world #Caribbean #vaccine #vaccination #2021  @DrArielHenry,b'TimesAssociates',"['covid19', 'covid', 'pandemic', 'world', 'Caribbean', 'vaccine', 'vaccination']",1221,0
2021-11-20 11:14:59+00:00,"No #vaccination, no rations: #MadhyaPradesh ‘boosts’ vaccination campaign?  @ChouhanShivraj @MoHFW_INDIA @healthminmp @foodsuppliesmp   https://t.co/RjbS6AufLb",b'GaonConnectionE',"['vaccination', 'MadhyaPradesh']",6072,0
2021-11-20 11:14:04+00:00,"Anti-Vaxxers and Science Deniers- Not Getting Vaccinated Will Doom Control of COVID-19 : #vaccination, #vaccine, #covid19, #pandemic, #herdimmunity, #life, #normalicy, #antivaxxers, #deltavariant, #blog, #blogging, #lifestyle https://t.co/bDzh8H3OFZ",b'mkrivich',"['vaccination', 'vaccine', 'covid19', 'pandemic', 'herdimmunity', 'life', 'normalicy', 'antivaxxers', 'deltavariant', 'blog', 'blogging', 'lifestyle']",5961,1
2021-11-20 11:13:49+00:00,Lessons from the Pandemic – Using Primary Care Physicians to Reach the Unvaccinated #covid19 #vaccination #primarycare #physician #hospitals #unvaccinated #healthcaremarketing #healthcaresocialmedia #healthcareexpert #blog  https://t.co/6AI3swD1G0,b'mkrivich',"['covid19', 'vaccination', 'primarycare', 'physician', 'hospitals', 'unvaccinated', 'healthcaremarketing', 'healthcaresocialmedia', 'healthcareexpert', 'blog']",5961,0
2021-11-20 11:13:41+00:00,"COVID-19 Wave Four- The Hospitals Role in Vaccinating the Unvaccinated – 9 Strategies #covid19, #deltavariant, #hospital, #primarycare, #physicians, #vaccination, #antivaxxers, #disinformation, #hospitalmarketing https://t.co/QZKeeJIZR6",b'mkrivich',"['covid19', 'deltavariant', 'hospital', 'primarycare', 'physicians', 'vaccination', 'antivaxxers', 'disinformation', 'hospitalmarketing']",5961,0
2021-11-20 11:12:32+00:00,【#corona】【#Booster】How are the actual reactions to #Covid-19 #vaccination booster? https://t.co/Qr6TVJ39Xu,b'mihokosingapore',"['corona', 'Booster', 'Covid', 'vaccination']",860,1
2021-11-20 11:12:16+00:00,"With cult tactics and privileged victimization, #wellness industry = robust individualism + distrust of western medicine + micromanagement of self-optimisation + financial interests. All creating mistrust in #vaccination. Let's understand and fight back.  https://t.co/XaOnw1tGlV",b'EdgarSevillaR',"['wellness', 'vaccination']",46,0
2021-11-20 10:58:28+00:00,This sums up some of the @ECG_MK activities yesterday!!! #CDAwards #PancreaticCancerAwarenessDay #Vaccination with #ChildreninNeed team https://t.co/NwNOFs5fcw,b'JaneLambertECG',"['CDAwards', 'PancreaticCancerAwarenessDay', 'Vaccination', 'ChildreninNeed']",5627,8
